Title: Rainfall of Kharif-1 (Mid March - Mid June) season of Jessore (11407) station during year 1992 to 2022,,,,
,,,,
SL.,Station,Year,Month,Total Rainfall (mm)
215,Jessore (11407),2009,11,0
216,Jessore (11407),2009,12,0
217,Jessore (11407),2010,1,0
218,Jessore (11407),2010,2,0
219,Jessore (11407),2010,3,11
220,Jessore (11407),2010,4,37
221,Jessore (11407),2010,5,264
222,Jessore (11407),2010,6,329
223,Jessore (11407),2010,7,58
224,Jessore (11407),2010,8,0
225,Jessore (11407),2010,9,0
226,Jessore (11407),2010,10,0
227,Jessore (11407),2010,11,0
228,Jessore (11407),2010,12,0
229,Jessore (11407),2011,1,0
230,Jessore (11407),2011,2,0
231,Jessore (11407),2011,3,28
232,Jessore (11407),2011,4,33
233,Jessore (11407),2011,5,132
234,Jessore (11407),2011,6,314
235,Jessore (11407),2011,7,105
236,Jessore (11407),2011,8,0
237,Jessore (11407),2011,9,0
238,Jessore (11407),2011,10,0
239,Jessore (11407),2011,11,0
240,Jessore (11407),2011,12,0
241,Jessore (11407),2012,1,0
242,Jessore (11407),2012,2,0
243,Jessore (11407),2012,3,5
244,Jessore (11407),2012,4,82
245,Jessore (11407),2012,5,36
246,Jessore (11407),2012,6,221
247,Jessore (11407),2012,7,174
248,Jessore (11407),2012,8,0
249,Jessore (11407),2012,9,0
250,Jessore (11407),2012,10,0
251,Jessore (11407),2012,11,0
252,Jessore (11407),2012,12,0
253,Jessore (11407),2013,1,0
254,Jessore (11407),2013,2,0
255,Jessore (11407),2013,3,8
256,Jessore (11407),2013,4,63
257,Jessore (11407),2013,5,278
258,Jessore (11407),2013,6,203
259,Jessore (11407),2013,7,96
260,Jessore (11407),2013,8,0
261,Jessore (11407),2013,9,0
262,Jessore (11407),2013,10,0
263,Jessore (11407),2013,11,0
264,Jessore (11407),2013,12,0
265,Jessore (11407),2014,1,0
266,Jessore (11407),2014,2,0
267,Jessore (11407),2014,3,10
268,Jessore (11407),2014,4,0
269,Jessore (11407),2014,5,165
270,Jessore (11407),2014,6,286
271,Jessore (11407),2014,7,312
272,Jessore (11407),2014,8,0
273,Jessore (11407),2014,9,0
274,Jessore (11407),2014,10,0
275,Jessore (11407),2014,11,0
276,Jessore (11407),2014,12,0
277,Jessore (11407),2015,1,0
278,Jessore (11407),2015,2,0
279,Jessore (11407),2015,3,4
280,Jessore (11407),2015,4,108
281,Jessore (11407),2015,5,125
282,Jessore (11407),2015,6,379
283,Jessore (11407),2015,7,275
284,Jessore (11407),2015,8,0
285,Jessore (11407),2015,9,0
286,Jessore (11407),2015,10,0
287,Jessore (11407),2015,11,0
288,Jessore (11407),2015,12,0
289,Jessore (11407),2016,1,0
290,Jessore (11407),2016,2,0
291,Jessore (11407),2016,3,60
292,Jessore (11407),2016,4,10
293,Jessore (11407),2016,5,269
294,Jessore (11407),2016,6,241
295,Jessore (11407),2016,7,161
296,Jessore (11407),2016,8,0
297,Jessore (11407),2016,9,0
298,Jessore (11407),2016,10,0
299,Jessore (11407),2016,11,0
300,Jessore (11407),2016,12,0
301,Jessore (11407),2017,1,0
302,Jessore (11407),2017,2,0
303,Jessore (11407),2017,3,7
304,Jessore (11407),2017,4,138
305,Jessore (11407),2017,5,186
306,Jessore (11407),2017,6,245
307,Jessore (11407),2017,7,280
308,Jessore (11407),2017,8,0
309,Jessore (11407),2017,9,0
310,Jessore (11407),2017,10,0
311,Jessore (11407),2017,11,0
312,Jessore (11407),2017,12,0
313,Jessore (11407),2018,1,0
314,Jessore (11407),2018,2,0
315,Jessore (11407),2018,3,10
316,Jessore (11407),2018,4,186
317,Jessore (11407),2018,5,148
318,Jessore (11407),2018,6,101
319,Jessore (11407),2018,7,167
320,Jessore (11407),2018,8,0
321,Jessore (11407),2018,9,0
322,Jessore (11407),2018,10,0
323,Jessore (11407),2018,11,0
324,Jessore (11407),2018,12,0
325,Jessore (11407),2019,1,0
326,Jessore (11407),2019,2,0
327,Jessore (11407),2019,3,29
328,Jessore (11407),2019,4,173
329,Jessore (11407),2019,5,122
330,Jessore (11407),2019,6,134
331,Jessore (11407),2019,7,133
332,Jessore (11407),2019,8,0
333,Jessore (11407),2019,9,0
334,Jessore (11407),2019,10,0
335,Jessore (11407),2019,11,0
336,Jessore (11407),2019,12,0
337,Jessore (11407),2020,1,0
338,Jessore (11407),2020,2,0
339,Jessore (11407),2020,3,26
340,Jessore (11407),2020,4,82
341,Jessore (11407),2020,5,251
342,Jessore (11407),2020,6,347
343,Jessore (11407),2020,7,96
344,Jessore (11407),2020,8,0
345,Jessore (11407),2020,9,0
346,Jessore (11407),2020,10,0
347,Jessore (11407),2020,11,0
348,Jessore (11407),2020,12,0
349,Jessore (11407),2021,1,0
350,Jessore (11407),2021,2,0
351,Jessore (11407),2021,3,0
352,Jessore (11407),2021,4,99
353,Jessore (11407),2021,5,159
354,Jessore (11407),2021,6,365
355,Jessore (11407),2021,7,101
356,Jessore (11407),2021,8,0
357,Jessore (11407),2021,9,0
358,Jessore (11407),2021,10,0
359,Jessore (11407),2021,11,0
360,Jessore (11407),2021,12,0
361,Jessore (11407),2022,1,0
362,Jessore (11407),2022,2,0
363,Jessore (11407),2022,3,0
364,Jessore (11407),2022,4,19
365,Jessore (11407),2022,5,182
366,Jessore (11407),2022,6,72
367,Jessore (11407),2022,7,41
368,Jessore (11407),2022,8,0
369,Jessore (11407),2022,9,0
370,Jessore (11407),2022,10,0
371,Jessore (11407),2022,11,0
372,Jessore (11407),2022,12,0
